lon lat depth
122.053184 29.894233 41.00
122.075014 29.894471 35.00
122.078571 29.896528 37.00
122.074865 29.897784 55.00
122.089306 29.900516 50.00
122.081974 29.898790 49.00
122.085560 29.901402 44.00
122.103707 29.905518 36.00
122.099880 29.917881 101.00
122.099999 29.913991 97.00
122.103726 29.915865 86.00
122.106342 29.922455 104.00
122.106056 29.921194 100.00
122.101794 29.921421 104.00
122.092490 29.916426 95.00
122.088972 29.914784 107.00
122.081865 29.917552 68.00
122.085438 29.915851 108.00
122.074551 29.921592 88.00
122.078777 29.920544 88.00
122.070451 29.918286 101.00
122.063369 29.922526 90.00
122.069293 29.921773 86.00
122.075431 29.917639 98.00
122.068487 29.927908 80.00
122.075247 29.925265 88.00
122.077753 29.927557 92.00
122.080132 29.929059 79.00
122.070778 29.925167 73.00
122.065176 29.925452 79.00
122.090272 29.929567 77.00
122.092288 29.924704 88.00
122.089063 29.926705 88.00
122.088416 29.923321 89.00
122.081050 29.924981 64.00
122.084482 29.926747 94.00
122.086021 29.930078 78.00
122.070830 29.935411 83.00
122.078143 29.932338 65.00
122.074465 29.933745 80.00
122.068162 29.930644 78.00
122.067206 29.934254 91.00
122.059978 29.937704 35.00
122.063548 29.936706 64.00
122.063595 29.933214 74.00
122.059921 29.934262 59.00
122.056351 29.935451 35.00
122.065279 29.942513 35.00
122.066682 29.939992 39.00
122.068031 29.938616 64.00
122.070491 29.941809 58.00
122.060955 29.942366 37.00
122.074576 29.938728 39.00
122.071610 29.938634 74.00
122.085347 29.936019 58.00
122.078124 29.936758 46.00
122.088940 29.935453 46.00
122.081708 29.934038 49.00
122.092582 29.933779 89.00
122.096213 29.935710 92.00
122.099881 29.934012 94.00
122.099832 29.938013 71.00
122.103463 29.934989 88.00
122.103402 29.940019 65.00
122.096116 29.939817 63.00
122.092619 29.937249 62.00
122.092643 29.940422 44.00
122.099345 29.942024 63.00
122.100052 29.945219 35.00
122.101026 29.948551 32.00
122.103999 29.947320 38.00
122.096299 29.948264 37.00
122.106095 29.950874 35.00
122.101879 29.950503 34.00
122.097188 29.954562 34.00
122.096445 29.952217 36.00
122.103999 29.955644 32.00
122.090535 29.958100 45.00
122.087453 29.959310 45.00
122.096018 29.963448 45.00
122.099406 29.962684 48.00
122.093594 29.961007 45.00
122.104986 29.959135 40.00
122.110604 29.955633 32.00
122.104219 29.961310 44.00
122.101014 29.958954 38.00
122.122301 29.954853 42.00
122.120985 29.958005 34.00
122.118987 29.952530 44.00
122.122764 29.959957 33.00
122.131821 29.971957 36.00
122.126719 29.972703 32.00
122.139467 29.970196 37.00
122.146089 29.966881 32.00
122.151784 29.970338 33.00
122.155047 29.969216 35.00
122.157754 29.937096 61.00
122.161588 29.934213 68.00
122.165061 29.936459 40.00
122.168836 29.934769 49.00
122.172368 29.932472 49.00
122.156074 29.931021 63.00
122.161370 29.930443 74.00
122.165002 29.932265 74.00
122.167869 29.928964 73.00
122.154972 29.924176 84.00
122.159517 29.923716 76.00
122.164385 29.925645 68.00
122.149680 29.926127 71.00
122.154521 29.927956 66.00
122.138444 29.929344 80.00
122.144318 29.927460 83.00
122.147041 29.931064 69.00
122.143317 29.931832 74.00
122.139793 29.926251 93.00
122.123083 29.934823 78.00
122.128782 29.935615 78.00
122.132605 29.935254 83.00
122.132467 29.931192 71.00
122.117967 29.934556 90.00
122.117989 29.931247 87.00
122.128846 29.932593 102.00
122.120589 29.924818 107.00
122.124642 29.926643 102.00
122.120801 29.928218 101.00
